Interaction,Protein A,Protein B,Reference,sp,Detection,Detected,Tested
,,,,,,,
1,P1,P1,[44],PPV,BiFC,0,1
2,P1,HCPro,[44],PPV,BiFC,0,1
3,P1,P3,[44],PPV,BiFC,0,1
4,P1,6K1,[44],PPV,BiFC,0,1
5,P1,CI,[44],PPV,BiFC,1,1
6,P1,6K2,[44],PPV,BiFC,0,1
7,P1,VPg,[44],PPV,BiFC,1,1
8,P1,NIaPro,[44],PPV,BiFC,1,1
9,P1,NIb,[44],PPV,BiFC,0,1
10,P1,CP,[44],PPV,BiFC,1,1
,,,,,,,
11,HCPro,P1,[44],PPV,BiFC,0,1
12,HCPro,HCPro,[44],PPV,BiFC,0,1
13,HCPro,P3,[44],PPV,BiFC,0,1
14,HCPro,6K1,[44],PPV,BiFC,0,1
15,HCPro,CI,[44],PPV,BiFC,1,1
16,HCPro,6K2,[44],PPV,BiFC,0,1
17,HCPro,VPg,[44],PPV,BiFC,0,1
18,HCPro,NIaPro,[44],PPV,BiFC,0,1
19,HCPro,NIb,[44],PPV,BiFC,0,1
20,HCPro,CP,[44],PPV,BiFC,0,1
,,,,,,,
21,P3,P1,[44],PPV,BiFC,0,1
22,P3,HCPro,[44],PPV,BiFC,0,1
23,P3,P3,[44],PPV,BiFC,0,1
24,P3,6K1,[44],PPV,BiFC,0,1
25,P3,CI,[44],PPV,BiFC,1,1
26,P3,6K2,[44],PPV,BiFC,0,1
27,P3,VPg,[44],PPV,BiFC,0,1
28,P3,NIaPro,[44],PPV,BiFC,1,1
29,P3,NIb,[44],PPV,BiFC,1,1
30,P3,CP,[44],PPV,BiFC,0,1
,,,,,,,
31,6K1,P1,[44],PPV,BiFC,0,1
32,6K1,HCPro,[44],PPV,BiFC,0,1
33,6K1,P3,[44],PPV,BiFC,0,1
34,6K1,6K1,[44],PPV,BiFC,0,1
35,6K1,CI,[44],PPV,BiFC,1,1
36,6K1,6K2,[44],PPV,BiFC,1,1
37,6K1,VPg,[44],PPV,BiFC,0,1
38,6K1,NIaPro,[44],PPV,BiFC,1,1
39,6K1,NIb,[44],PPV,BiFC,0,1
40,6K1,CP,[44],PPV,BiFC,0,1
,,,,,,,
41,CI,P1,[44],PPV,BiFC,0,1
42,CI,HCPro,[44],PPV,BiFC,1,1
43,CI,P3,[44],PPV,BiFC,1,1
44,CI,6K1,[44],PPV,BiFC,1,1
45,CI,CI,[44],PPV,BiFC,1,1
46,CI,6K2,[44],PPV,BiFC,1,1
47,CI,VPg,[44],PPV,BiFC,1,1
48,CI,NIaPro,[44],PPV,BiFC,1,1
49,CI,NIb,[44],PPV,BiFC,1,1
50,CI,CP,[44],PPV,BiFC,1,1
,,,,,,,
51,6K2,P1,[44],PPV,BiFC,0,1
52,6K2,HCPro,[44],PPV,BiFC,0,1
53,6K2,P3,[44],PPV,BiFC,0,1
54,6K2,6K1,[44],PPV,BiFC,1,1
55,6K2,CI,[44],PPV,BiFC,1,1
56,6K2,6K2,[44],PPV,BiFC,1,1
57,6K2,VPg,[44],PPV,BiFC,1,1
58,6K2,NIaPro,[44],PPV,BiFC,1,1
59,6K2,NIb,[44],PPV,BiFC,1,1
60,6K2,CP,[44],PPV,BiFC,0,1
,,,,,,,
61,VPg,P1,[44],PPV,BiFC,0,1
62,VPg,HCPro,[44],PPV,BiFC,0,1
63,VPg,P3,[44],PPV,BiFC,0,1
64,VPg,6K1,[44],PPV,BiFC,0,1
65,VPg,CI,[44],PPV,BiFC,1,1
66,VPg,6K2,[44],PPV,BiFC,1,1
67,VPg,VPg,[44],PPV,BiFC,1,1
68,VPg,NIaPro,[44],PPV,BiFC,1,1
69,VPg,NIb,[44],PPV,BiFC,1,1
70,VPg,CP,[44],PPV,BiFC,1,1
,,,,,,,
71,NIaPro,P1,[44],PPV,BiFC,0,1
72,NIaPro,HCPro,[44],PPV,BiFC,0,1
73,NIaPro,P3,[44],PPV,BiFC,1,1
74,NIaPro,6K1,[44],PPV,BiFC,1,1
75,NIaPro,CI,[44],PPV,BiFC,1,1
76,NIaPro,6K2,[44],PPV,BiFC,1,1
77,NIaPro,VPg,[44],PPV,BiFC,1,1
78,NIaPro,NIaPro,[44],PPV,BiFC,1,1
79,NIaPro,NIb,[44],PPV,BiFC,1,1
80,NIaPro,CP,[44],PPV,BiFC,1,1
,,,,,,,
81,NIb,P1,[44],PPV,BiFC,0,1
82,NIb,HCPro,[44],PPV,BiFC,0,1
83,NIb,P3,[44],PPV,BiFC,1,1
84,NIb,6K1,[44],PPV,BiFC,0,1
85,NIb,CI,[44],PPV,BiFC,1,1
86,NIb,6K2,[44],PPV,BiFC,1,1
87,NIb,VPg,[44],PPV,BiFC,1,1
88,NIb,NIaPro,[44],PPV,BiFC,1,1
89,NIb,NIb,[44],PPV,BiFC,1,1
90,NIb,CP,[44],PPV,BiFC,1,1
,,,,,,,
91,CP,P1,[44],PPV,BiFC,0,1
92,CP,HCPro,[44],PPV,BiFC,0,1
93,CP,P3,[44],PPV,BiFC,0,1
94,CP,6K1,[44],PPV,BiFC,0,1
95,CP,CI,[44],PPV,BiFC,1,1
96,CP,6K2,[44],PPV,BiFC,0,1
97,CP,VPg,[44],PPV,BiFC,1,1
98,CP,NIaPro,[44],PPV,BiFC,1,1
99,CP,NIb,[44],PPV,BiFC,1,1
100,CP,CP,[44],PPV,BiFC,1,1
,,,,,,,
101,CI,P3NPIPO,[44],PPV,BiFC,1,1
102,P3NPIPO,CI,[44],PPV,BiFC,1,1
103,CP,P3NPIPO,[44],PPV,BiFC,0,1
104,P3NPIPO,CP,[44],PPV,BiFC,0,1
105,P3NPIPO,P3NPIPO,[44],PPV,BiFC,0,1
